INTRO TO ANC NEAR EAST,ANCH025,"II: History and Tradition, Cross Cultural Analysis"
PREHISTORY - RENAISSANCE: INTRO TO WESTERN ART,ARTH101,"III: Arts and Letters, Cross Cultural Analysis"
WORLD FILM HIST '45-PRES,"ARTH109, COML124, ENGL092, CIMS102","III: Arts and Letters, Cross Cultural Analysis"
WORLD FILM HIST TO 1945,"CIMS101, ENGL091, ARTH108, COML123","III: Arts and Letters, Cross Cultural Analysis"
ITALIAN HISTORY ON SCREEN,"COML206, CIMS206, ITAL204","III: Arts and Letters, Cross Cultural Analysis"
INTRO TO MODERN INDIA,"SAST001, HIST089","II: History and Tradition, Cross Cultural Analysis"
INDIA: CULTURE & SOCIETY,"SAST008, RELS068, HIST085","IV: Humanities and Social Science, Cross Cultural Analysis"
ASIAN-AMERICAN LIT,"ENGL072, ASAM002","III: Arts and Letters, Cultural Diversity in the U.S."
JEWISH-AMERICAN LIT: ISR LITERARY AUTO/BIOGS,ENGL079,"III: Arts and Letters, Cross Cultural Analysis"
"GEN.PHYS:MECH,HEAT,SOUND",PHYS101,"VI: Physical World, Quantitative Data Analysis"
OCEANOGRAPHY,GEOL130,"VI: Physical World, Quantitative Data Analysis"
FREN HIST/CLTR TIL 1789,FREN226,"II: History and Tradition, Cross Cultural Analysis"
AFRICA SINCE 1800,HIST076,"II: History and Tradition, Cross Cultural Analysis"
WORLD MUSIC & CULTURES,"ANTH022, FOLK022","III: Arts and Letters, Cross Cultural Analysis"
HONORS PHYSICS I: MECHANICS AND WAVE MOTION,PHYS170,"VI: Physical World, Quantitative Data Analysis"
AFRICA SINCE 1800,AFRC076,"II: History and Tradition, Cross Cultural Analysis"
MASTERPIECES OF 19TH CENTURY RUSSIAN LITERATURE,RUSS145,"III: Arts and Letters, Cross Cultural Analysis"
HIST MID EAST SINCE 1800,"NELC031, HIST081","II: History and Tradition, Cross Cultural Analysis"
COLD WAR: GLOBAL HISTORY,"HIST135, RUSS135","IV: Humanities and Social Science, Cross Cultural Analysis"
EMERGENCE OF MODERN SCI,STSC001,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
GLOBALIZATION AND ITS HISTORICAL SIGNIFICANCE,"ANTH012, HIST012, SOCI012","IV: Humanities and Social Science, Cross Cultural Analysis"
THEMES JEWISH TRADITION: JEWISH POLITICAL THOUGHT AND ACTION,"NELC252, FOLK252, RELS129, JWST100","II: History and Tradition, Cross Cultural Analysis"
MED & EARLY MOD JEWRY,"RELS121, JWST157, HIST140","II: History and Tradition, Cross Cultural Analysis"
MODERN AMERICAN CULTURE,HIST163,"II: History and Tradition, Cultural Diversity in the U.S."
THEORIES GENDR/SEXUALITY: QUEER POLITICS/QUEER COM,"GSWS096, ENGL096","IV: Humanities and Social Science, Cultural Diversity in the U.S."
TEXTS AND CONTEXTS,SPAN219,"IV: Humanities and Social Science, Cross Cultural Analysis"
INTRO TO GEOLOGY,GEOL100,"VI: Physical World, Quantitative Data Analysis"
NAT DISTURB & DISASTERS,GEOL103,"VI: Physical World, Quantitative Data Analysis"
INTRODUCTION TO GEOTECHNICAL SCIENCE,GEOL109,"VI: Physical World, Quantitative Data Analysis"
PERSPECTIVES ON URBAN POVERTY,"URBS420, SOCI420, HIST440","Quantitative Data Analysis, Cultural Diversity in the U.S."
INTRO AFRICANA STUDIES,AFRC001,"IV: Humanities and Social Science, Cultural Diversity in the U.S."
EMERGENCE OF MODERN SCI,HSOC001,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
"GEN.PHYS.:EM,OPTICS,MODP",PHYS102,"VI: Physical World, Quantitative Data Analysis"
PROTO-INDO-EUROPEAN LANGUAGES,LING051,"II: History and Tradition, Cross Cultural Analysis"
ANCIENT GREECE,"CLST026, ANCH026, ENGL072","II: History and Tradition, Cross Cultural Analysis"
IDEAS IN MATHEMATICS,MATH170,"Formal Reasoning & Analysis, VII: Natural Sciences and Math"
"EYE, MIND AND IMAGE",VLST101,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
INTRODUCTION TO CULTURAL ANTHROPOLOGY,ANTH002,"I: Society, Cross Cultural Analysis"
SCANDALOUS ARTS,"COML141, CLST140","IV: Humanities and Social Science, Cross Cultural Analysis"
INTRO LITERARY ANALYSIS,SPAN223,"III: Arts and Letters, Cross Cultural Analysis"
INTRO BIO-MOLEC BIO LIFE,BIOL121,"V: Living World, Quantitative Data Analysis"
WORLD MUSICS & CULTURES,"AFRC050, MUSC050","III: Arts and Letters, Cross Cultural Analysis"
MASTERPIECES-ITALIAN LIT,ITAL203,"III: Arts and Letters, Cross Cultural Analysis"
DECIPHERING AMERICA,HIST011,"II: History and Tradition, Cultural Diversity in the U.S."
COLONIAL LATIN AMERICA,HIST070,"II: History and Tradition, Cross Cultural Analysis"
THE BIG BANG AND BEYOND,ASTR007,"Quantitative Data Analysis, VII: Natural Sciences and Math"
LOVE&LOSS;:JPNS LIT TRAD,"GSWS152, EALC152","III: Arts and Letters, Cross Cultural Analysis"
SURVEY OF THE UNIVERSE,ASTR001,"VI: Physical World, Quantitative Data Analysis"
INTRO TO SOCIOLOGY,SOCI001,"I: Society, Cultural Diversity in the U.S."
INTRODUCTION TO MEDITERRANEAN ARCHAEOLOGY,"ARTH227, ANTH111, CLST111","II: History and Tradition, Cross Cultural Analysis"
COLD WAR: GLOBAL HISTORY,RUSS135,"IV: Humanities and Social Science, Cross Cultural Analysis"
INTRO TO CHINESE CIVILIZ,EALC001,"II: History and Tradition, Cross Cultural Analysis"
INTRO TO KOREAN CIV,"EALC003, HIST098","II: History and Tradition, Cross Cultural Analysis"
COLONIAL LATIN AMERICA,LALS070,"II: History and Tradition, Cross Cultural Analysis"
MOD HEB LIT & CULT TRANS: ISR LITERARY AUTO/BIOGS,"NELC159, COML282, JWST154, CIMS159","III: Arts and Letters, Cross Cultural Analysis"
PRINCIPLES II,PHYS151,"VI: Physical World, Quantitative Data Analysis"
PRINCIPLES I,PHYS150,"VI: Physical World, Quantitative Data Analysis"
FREN LIT: LOVE & PASSION,FREN231,"III: Arts and Letters, Cross Cultural Analysis"
INTRO TO ANC NEAR EAST,"HIST024, NELC101","II: History and Tradition, Cross Cultural Analysis"
1000 YRS MUSICAL LISTENG,MUSC030,"III: Arts and Letters, Cross Cultural Analysis"
