date,time,address,offense,description,lat,lng
09/17/16,9:51 PM,200 S 40th St,DUI,Intoxicated male/Arrest,39.9534235,-75.2032788
07/22/16,11:49 PM,200 S 36th St,DUI,Intoxicated driver arrested,39.9531375,-75.1947928
09/24/16,12:24 AM,3700 Spruce St,DUI,Intoxicated male drove into subway,39.9508969,-75.1973016
09/17/16,9:51 PM,200 S 40th St,DUI,Intoxicated male/Arrest,39.9534235,-75.2032788
10/01/16,11:13 PM,3900 Woodland Ave,DUI,Intoxicated driver arrested,39.9479816,-75.2001349
12/30/16,10:12 PM,300 S 40th St,DUI,Intoxicated driver arrested,39.9517455,-75.2030759
10/02/16,7:40 AM,3000 Walnut St,DUI,Intoxicated male/Arrest,39.950313,-75.184679
10/02/16,7:40 AM,3000 Walnut St,DUI,Intoxicated male/Arrest,39.950313,-75.184679
06/17/16,11:47 PM,3700 Walnut St,DUI,Intoxicated male/Arrest,39.9532908,-75.1973311
06/17/16,11:47 PM,3700 Walnut St,DUI,Intoxicated male/Arrest,39.9532908,-75.1973311
07/14/16,10:19 PM,4100 Baltimore Ave,DUI,Intoxicated male/Arrest,39.949627,-75.205937
10/12/16,11:35 PM,3200 Walnut St,DUI,Intoxicated male/Arrest,39.950792,-75.18951
07/22/16,11:49 PM,200 S 36th St,DUI,Intoxicated driver arrested,39.9531375,-75.1947928
12/28/16,12:44 AM,4000 Walnut St,DUI,Intoxicated driver arrested,39.9540855,-75.202628
08/11/16,7:10 AM,3300 Spruce St,DUI,Intoxicated female/Arrest,39.9503356,-75.1917243
01/05/17,10:22 PM,3700 Walnut St,DUI,Intoxicated driver arrested,39.9532908,-75.1973311
10/12/16,11:35 PM,3200 Walnut St,DUI,Intoxicated male/Arrest,39.950792,-75.18951
02/12/17,1:16 AM,4000 Walnut St,DUI,Intoxicated female/Arrest,39.9540855,-75.202628
11/16/16,10:10 PM,4300 Pine St,DUI,Intoxicated male arrested,39.9514411,-75.2093641
3/18/2017,3:22 AM,4100 Walnut St,DUI,Intoxicated driver arrested,39.9544358,-75.205089
12/28/16,12:44 AM,4000 Walnut St,DUI,Intoxicated driver arrested,39.9540855,-75.202628
09/24/16,12:24 AM,3700 Spruce St,DUI,Intoxicated male drove into subway,39.9508969,-75.1973016
12/30/16,10:12 PM,300 S 40th St,DUI,Intoxicated driver arrested,39.9517455,-75.2030759
08/11/16,7:10 AM,3300 Spruce St,DUI,Intoxicated female/Arrest,39.9503356,-75.1917243
01/05/17,10:22 PM,3700 Walnut St,DUI,Intoxicated driver arrested,39.9532908,-75.1973311
01/07/17,1:53 AM,4100 Spruce St,DUI,Intoxicated male/Arrest,39.951825,-75.205824
01/07/17,1:53 AM,4100 Spruce St,DUI,Intoxicated male/Arrest,39.951825,-75.205824
02/01/17,1:05 AM,3800 Chestnut St,DUI,Intoxicated driver/Arrest,39.954762,-75.198959
02/01/17,1:05 AM,3800 Chestnut St,DUI,Intoxicated driver/Arrest,39.954762,-75.198959
03/25/2017,1:19 AM,4000 Market St,DUI,Intoxicated driver arrested,39.956945,-75.2021605
02/12/17,1:16 AM,4000 Walnut St,DUI,Intoxicated female/Arrest,39.9540855,-75.202628
08/27/17,3:05 AM,3800 Market St,DUI,Intoxicated driver arrested,39.9567739,-75.1954316
2/22/2017,4:18 PM,4000 Sansom St,DUI,Intoxicated male/Arrest,39.9548782,-75.2024439
2/22/2017,4:18 PM,4000 Sansom St,DUI,Intoxicated male/Arrest,39.9548782,-75.2024439
3/18/2017,3:22 AM,4100 Walnut St,DUI,Intoxicated driver arrested,39.9544358,-75.205089
07/14/16,10:19 PM,4100 Baltimore Ave,DUI,Intoxicated male/Arrest,39.949627,-75.205937
03/25/2017,1:19 AM,4000 Market St,DUI,Intoxicated driver arrested,39.956945,-75.2021605
4/14/2017,11:01 PM,4000 Baltimore Ave,DUI,Intoxicated driver arrested,39.949921,-75.2039386
4/14/2017,11:01 PM,4000 Baltimore Ave,DUI,Intoxicated driver arrested,39.949921,-75.2039386
11/16/16,10:10 PM,4300 Pine St,DUI,Intoxicated male arrested,39.9514411,-75.2093641
08/27/17,3:05 AM,3800 Market St,DUI,Intoxicated driver arrested,39.9567739,-75.1954316
10/01/16,11:13 PM,3900 Woodland Ave,DUI,Intoxicated driver arrested,39.9479816,-75.2001349
