Holidays,Days Off
Winter Break,24
Labor Day - University Holiday,1
Thanksgiving Day - University Holiday,1
University Holiday,1
Academic Holiday,1
Election Day - University Holiday,1
Study Days,3
Christmas Day - University Holiday,1
University Designated Holiday - University Holiday,1
Academic Holiday,1
Martin Luther King Jr. Birthday Observed - University Holiday,1
Spring Recess,5
Study Days,3
University Designated Holiday - University Holiday,1
New Year's Day - University Holiday,1
Memorial Day - University Holiday,1
