Move-in for First-Year & Transfer Students, 2017, August 23
New Student Orientation, 2017, August 23-28
Opening Exercises and Freshman Convocation, 2017, August 28
First Day of Classes, 2017, August 29
Labor Day (no classes), 2017, September 4
Course Selection Period ends, 2017, September 18
Fall Term Break, 2017, October 5-8
Drop Period ends, 2017, October 9
Classes Resume, 2017, October 9
Family Weekend, 2017, October 27-29
Advance Registration for Spring Term, 2017, October 30-November 12
Last day to withdraw from a course, 2017, November 10
Homecoming, 2017, November 4 (Princeton)
Thurs-Fri Class Schedule on Tue-Wed, 2017, November 21-22
Thanksgiving Break, 2017, November 23-26
Classes Resume, 2017, November 27
Last day of Classes, 2017, December 11
Reading Days, 2017, December 12-13
Final Examinations, 2017, December 14-21
Fall Term ends, 2017, December 21
First Day of Classes, 2017, January 10 (Monday classes)
Martin Luther King Jr. Day Observed (no classes), 2017, January 15
Course Selection Period ends, 2017, January 29
Drop Period ends, 2017, February 16
Spring Term Break, 2017, March 3-11
Classes Resume, 2017, March 12
Advance Registration for Fall Term and Summer Sessions, 2017, March 19-April 1
Last day to withdraw from a course, 2017, March 30
Last day of classes, 2017, April 25
Reading Days, 2017, April 26-27
Final Examinations, 2017, April 30-May 8
Spring Term ends, 2017, May 8
Alumni Day, 2017, May 12
Baccalaureate, 2017, May 13
Commencement, 2017, May 14
11-Week Session Classes begin, 2017, May 21 (Mon)
Session I Classes begin, 2017, May 21 (Mon)
Memorial Day Observed (no classes), 2017, May 28
Session I Classes end Wednesday, 2017, June 27
Session II Classes begin, 2017, June 28 (Thurs)
Independence Day Observed (no classes), 2017, July 4 (Wed)
Session II & 11-Week Session Classes end, 2017, August 3
Move-in for First-Year & Transfer Students, 2018, August 22
New Student Orientation, 2018, August 22-27
Opening Exercises and Freshman Convocation, 2018, August 27
First Day of Classes, 2018, August 28
Labor Day (no classes), 2018, September 3
Course Selection Period ends, 2018, September 17
Fall Term Break, 2018, October 4-7
Drop Period ends, 2018, October 8
Classes Resume, 2018, October 8
Family Weekend, 2018, October 19-21 (Yale)
Advance Registration for Spring Term, 2018, October 29-November 11
Last day to withdraw from a course, 2018, November 9
Homecoming, 2018, November 10 (Harvard)
Thurs-Fri Class Schedule on Tue-Wed, 2018, November 20-21
Thanksgiving Break, 2018, November 22-25
Classes Resume, 2018, November 26
Last day of Classes, 2018, December 10
Reading Days, 2018, December 11-12
Final Examinations, 2018, December 13-20
Fall Term ends, 2018, December 20
First Day of Classes, 2018, January 16 (Monday classes)
Martin Luther King Jr. Day Observed (no classes), 2018, undefined
Course Selection Period ends, 2018, February 4
Drop Period ends, 2018, February 22
Spring Term Break, 2018, March 2-10
Classes Resume, 2018, March 11
Advance Registration for Fall Term and Summer Sessions, 2018, March 18-31
Last day to withdraw from a course, 2018, April 5
Last day of classes, 2018, May 1
Reading Days, 2018, May 2-3
Final Examinations, 2018, May 6-14
Spring Term ends, 2018, May 14
Alumni Day, 2018, May 18
Baccalaureate, 2018, May 19
Commencement, 2018, May 20
11-Week Session Classes begin, 2018, May 28 (Tue)
Session I Classes begin, 2018, May 28 (Tue)
Memorial Day Observed (no classes), 2018, May 27
Session I Classes end Wednesday, 2018, July 3
Session II Classes begin, 2018, July 5 (Fri)
Independence Day Observed (no classes), 2018, July 4 (Thurs)
Session II & 11-Week Session Classes end, 2018, August 9
Move-in for First-Year & Transfer Students, 2019, August 21
New Student Orientation, 2019, August 21-26
Opening Exercises and Freshman Convocation, 2019, August 26
First Day of Classes, 2019, August 27
Labor Day (no classes), 2019, September 2
Course Selection Period ends, 2019, September 16
Fall Term Break, 2019, October 10-13
Drop Period ends, 2019, October 7
Classes Resume, 2019, October 14
Family Weekend, 2019, November 1-3 (Brown)
Advance Registration for Spring Term, 2019, October 28-November 10
Last day to withdraw from a course, 2019, November 8
Homecoming, 2019, November 9 (Cornell)
Thurs-Fri Class Schedule on Tue-Wed, 2019, November 26-27
Thanksgiving Break, 2019, November 28-December 1
Classes Resume, 2019, December 2
Last day of Classes, 2019, December 9
Reading Days, 2019, December 10-11
Final Examinations, 2019, December 12-19
Fall Term ends, 2019, December 19
First Day of Classes, 2019, January 15 (Monday classes)
Martin Luther King Jr. Day Observed (no classes), 2019, undefined
Course Selection Period ends, 2019, February 3
Drop Period ends, 2019, February 21
Spring Term Break, 2019, March 7-15
Classes Resume, 2019, March 16
Advance Registration for Fall Term and Summer Sessions, 2019, March 23-April 5
Last day to withdraw from a course, 2019, April 3
Last day of classes, 2019, April 29
Reading Days, 2019, April 30-May 1
Final Examinations, 2019, May 4-12
Spring Term ends, 2019, May 12
Alumni Day, 2019, May 16
Baccalaureate, 2019, May 17
Commencement, 2019, May 18
11-Week Session Classes begin, 2019, May 26 (Tue)
Session I Classes begin, 2019, May 26 (Tue)
Memorial Day Observed (no classes), 2019, May 25
Session I Classes end Wednesday, 2019, July 1
Session II Classes begin, 2019, July 2 (Thurs)
Independence Day Observed (no classes), 2019, July 4 (Fri)
Session II & 11-Week Session Classes end, 2019, August 7
