Year,Holiday,Start Date,End Date,Days Off
2017,First Day of Class,,8/30/17,
2017,Labor Day,09/04/17,9/4/17,1
2017,October Recess,10/18/17,10/21/17,3
2017,November Recess,11/20/17,11/24/17,5
2017,Study Days,12/11/17,12/14/17,4
2017,Winter Break,12/21/17,1/16/18,26
2017,Spring Recess,03/12/18,3/24/18,12
2017,Study Days,04/30/18,5/3/18,4
,,,,
2018,First Day of Class,05/10/18,8/29/18,111
2018,Labor Day,09/03/18,9/3/18,1
2018,October Recess,10/17/18,10/19/18,3
2018,November Recess,11/19/18,11/23/18,5
2018,Study Days,12/10/18,12/13/18,4
2018,Winter Break,12/20/18,1/14/19,25
2018,Martin Luther,01/21/19,1/21/19,1
2018,Spring Recess,03/11/19,3/23/19,12
2018,Study Days,04/29/19,5/2/18,4
,,,,
2019,First Day of Class,05/09/19,8/28/19,111
2019,Labor Day,09/02/19,9/2/19,1
2019,October Recess,10/16/19,10/18/19,3
2019,November Recess,11/25/19,11/29/19,5
2019,Study Days,12/09/19,12/12/19,4
2019,Winter Break,12/19/19,1/13/20,25
2019,Martin Luther,01/20/20,1/20/20,1
2019,Spring Recess,03/09/20,3/20/20,12
2019,Study Days,04/27/20,5/3/20,4
